ID,Stations-Name,WMO-Kennung,BG,BM,BS,LG,LM,LS,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Betreiber,Melde-Grp,Country
15000,Aachen-Orsbach,10505,50,47,54,6,1,28,50.798281,6.02439,230.99,DWD,I,Germany
3660,Nuerburg-Barweiler,10506,50,21,37,6,52,11,50.360141,6.869676,485,DWD,AUT,Germany
2667,Koeln-Bonn,10513,50,51,52,7,9,27,50.864559,7.157488,92,DWD,I,Germany
7340,Koblenz (Falckensteinkaserne),10516,50,22,17,7,34,45,50.371255,7.579139,84,GeoInfoDBw,II G,Germany
603,Bonn-Roleber,10519,50,44,6,7,11,35,50.734949,7.193113,159,DWD,AUT,Germany
161,Andernach,10520,50,25,25,7,25,13,50.423672,7.420164,75,DWD,AUT,Germany
3167,Marienberg. Bad,10526,50,39,43,7,57,37,50.662025,7.960193,546.6,DWD,AUT,Germany
1639,Gie�en/Wettenberg,10532,50,36,6,8,38,38,50.601706,8.643902,202.7,DWD,AUT,Germany
7396,Hoherodskopf/Vogelsberg,10534,50,30,30,9,13,29,50.508441,9.224703,743.3,DWD,AUT,Germany
7410,Neu-Ulrichstein,10537,50,45,5,9,1,21,50.75133,9.02243,350.3,DWD,AUT,Germany
7368,Eisenach,10540,51,0,3,10,21,44,51.000728,10.362107,312.4,DWD,AUT,Germany
2171,Hersfeld. Bad,10542,50,51,7,9,44,16,50.851917,9.737819,272.2,DWD,AUT,Germany
5371,Wasserkuppe,10544,50,29,50,9,56,34,50.497345,9.942797,921,DWD,I,Germany
3231,Meiningen,10548,50,33,40,10,22,38,50.561159,10.377105,450,DWD,AUT,Germany
4501,Schmuecke,10552,50,39,16,10,46,10,50.654562,10.769332,937,DWD,AUT,Germany
1270,Erfurt-Weimar,10554,50,58,58,10,57,39,50.982859,10.960808,316,DWD,I,Germany
3513,Neuhaus am Rennweg,10557,50,30,1,11,8,4,50.500232,11.134394,845,DWD,AUT,Germany
4464,Schleiz,10564,50,34,4,11,48,15,50.567906,11.804085,501,DWD,AUT,Germany
3821,Osterfeld,10565,51,5,14,11,55,45,51.087299,11.929202,246,DWD,AUT,Germany
1612,Gera-Leumnitz,10567,50,52,53,12,7,44,50.881268,12.128858,311,DWD,AUT,Germany
3946,Plauen,10569,50,28,55,12,7,48,50.481883,12.130014,386,DWD,AUT,Germany
840,Carlsfeld,10574,50,25,53,12,36,41,50.431326,12.611403,897,DWD,AUT,Germany
853,Chemnitz,10577,50,47,29,12,52,19,50.791286,12.871977,418,DWD,AUT,Germany
1358,Fichtelberg,10578,50,25,42,12,57,13,50.428346,12.953506,1213,DWD,I,Germany
3166,Marienberg,10579,50,39,4,13,8,49,50.651004,13.14694,639,DWD,AUT,Germany
5779,Zinnwald-Georgenfeld,10582,50,43,53,13,45,6,50.731376,13.751594,877,DWD,AUT,Germany
2985,Lichtenhain-Mittelndorf,10591,50,56,18,14,12,33,50.938331,14.209276,321,DWD,AUT,Germany
6232,Neuheilenbach (NHB),10605,50,6,35,6,32,54,50.10966,6.548324,550.9,DWD,oZ,Germany
5100,Trier-Petrisberg,10609,49,44,52,6,39,30,49.747889,6.658227,265,DWD,AUT,Germany
766,Buechel (Flugplatz),10613,50,10,29,7,3,34,50.174627,7.059526,477,GeoInfoDBw,II G,Germany
953,Deuselbach,10615,49,45,43,7,3,15,49.761901,7.054121,480.5,DWD,AUT,Germany
5871,Hahn,10616,49,56,46,7,15,52,49.946242,7.264522,497,DWD,AUT,Germany
2385,Idar-Oberstein,10618,49,41,34,7,19,35,49.692727,7.326355,376,GeoInfoDBw,I G,Germany
1580,Geisenheim,10628,49,59,9,7,57,17,49.985931,7.954853,110.2,DWD,AUT,Germany
2601,Kleiner Feldberg/Taunus,10635,50,13,19,8,26,49,50.221815,8.446877,825.6,DWD,AUT,Germany
1420,Frankfurt/Main,10637,50,1,33,8,31,17,50.025911,8.521294,99.7,DWD,I,Germany
7341,Offenbach-Wetterpark,10641,50,5,24,8,47,10,50.090012,8.786189,118.5,DWD,AUT,Germany
7412,Neuhuetten/Spessart,10646,50,0,30,9,25,26,50.008254,9.423898,339.5,DWD,AUT,Germany
3287,Michelstadt-Vielbrunn,10648,49,43,3,9,5,59,49.717633,9.099689,453,DWD,AUT,Germany
5705,Wuerzburg,10655,49,46,13,9,57,28,49.770283,9.957723,268,DWD,AUT,Germany
2597,Kissingen. Bad,10658,50,13,27,10,4,45,50.224063,10.079213,281.8,DWD,AUT,Germany
867,Lautertal-Oberlauter,10671,50,18,24,10,58,5,50.306672,10.967958,344.5,DWD,AUT,Germany
